#tag	x_m	y_m	Z_Base_Tikuna 
Inf._Relatorio	4568669.29	9663529.16	-2089
Belen_4x	4382983.4	9593312.36	-2696
Yanayacu_27X	4339554.51	9452146.45	-4371
Concordia_17x	4357270.24	9498004.28	-4110
Maranon_110-1	4435038.53	9504034.89	-2804
Nahuapa_24x	4409520.91	9534222.32	-2952
Palmera-1	4189404.56	10124296.3	-1938
Caiman_-_4	4221861.592	10084100.34	-1380
Chambira_Este_1X	4297902.53	9559387.95	-4073
Corrientes_1X	4326897.7	9576029.81	-3489
Forestal_1X	4203530.98	9738878.04	-3076
Jibaro_1X	4217499.01	9696748.25	-3353
Mahuaca_1X	4187718.09	9498751.93	-5289
Piraña_1X	4212577.3	9721326.59	-1927
Shanusi_1X_(2X)	4215704.46	9338890.97	-2740
Valencia_1X_(25X)	4251623.11	9646736.23	-3367
Yañez_1X_(14X)	4116461.63	9658155.01	-5120
Tamaya	4432522.75	9022036.51	-2821
PLATANAL	4480853.23	8997541.55	-2643
POMPEYA1    4150784.1157    9948874.5347    -2829
SANFRAN1    4178205.7526    9947237.422 -2646
TANGAY1 4206855.224 9961562.1577    -2253
IPL-1    4093753.0   9697344.0   -4100
IPL-1    4117343.0   9718266.0   -4000
IPL-1    4104050.0   9742073.0   -3987
IPL-1    4108068.0   9812828 -3497
IPL-1    4146668.0   10070180.0  -1870
ALEA-1	4188576.386	10052256.88	-2470.38
AZUL_GRANDE-1	4150354.354	10033108.14	-2696.77
BURDWILDCAT-1	4143022.459	10067416.14	-2860.83
CAIMAN-1	4200629.852	10081967.37	-1982.99
CAIMAN-3	4203105.062	10083687.2	-1915.86
CAIMAN-4	4221861.592	10084100.34	-1448.95
CAIMAN-5	4181468.958	10074876.28	-2397.36
CEDRAL-1	4172066.53	10078870.28	-2597.61
COHEMBI-1	4165790.316	10038925.85	-2463.19
CURIQUINGA-1	4159007.908	10031295.56	-2587.76
DOLORES-1	4163584.339	10028807.8	-2480.75
HELEN-1	4143355.077	10055874.99	-2825.65
